,prim_state,area,area_name,occ_code,occ_titl,tot_emp,a_mean,a_wpct10,a_wpct25,a_median,a_wpct75,a_wpct90,year
8,AK,380,"Anchorage, AK MSA",11-3021,Computer and Information Systems Managers,         210,    70170,41340,52120,67290,83570,113550,2000
34,AK,380,"Anchorage, AK MSA",13-1111,Management Analysts,         180,    59940,40670,47920,57160,69110,86170,2000
54,AK,380,"Anchorage, AK MSA",15-2031,Operations Research Analysts,          40,    48290,35680,40420,48160,56060,65420,2000
275,AK,380,"Anchorage, AK MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          80,    40760,25270,30580,41120,51560,56410,2000
352,AL,450,"Anniston, AL MSA",11-3021,Computer and Information Systems Managers,          30,    57110,37090,44160,59310,67980,73940,2000
367,AL,450,"Anniston, AL MSA",13-1111,Management Analysts,          30,    47020,22510,38460,46480,58490,67900,2000
561,AL,580,"Auburn-Opelika, AL MSA",11-3021,Computer and Information Systems Managers,0,    52270,29780,33880,50720,70140,83330,2000
580,AL,580,"Auburn-Opelika, AL MSA",13-1111,Management Analysts,0,    73860,22230,49490,56380,145601,145601,2000
755,AL,1000,"Birmingham, AL MSA",11-3021,Computer and Information Systems Managers,         890,    61880,32860,41250,60060,77880,94380,2000
785,AL,1000,"Birmingham, AL MSA",13-1111,Management Analysts,         690,    63230,29130,40660,54740,74780,113960,2000
809,AL,1000,"Birmingham, AL MSA",15-2031,Operations Research Analysts,         120,    40880,24140,27550,39830,50890,61700,2000
810,AL,1000,"Birmingham, AL MSA",15-2041,Statisticians,0,    42270,26510,31200,38400,45970,69780,2000
817,AL,1000,"Birmingham, AL MSA",17-2061,Computer Hardware Engineers,0,    68340,44540,53300,68180,83650,93810,2000
1117,AL,1000,"Birmingham, AL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         790,    36230,20770,28280,37710,43390,50200,2000
1248,AL,2030,"Decatur, AL MSA",11-3021,Computer and Information Systems Managers,          70,    59390,36540,40840,54060,77820,94590,2000
1264,AL,2030,"Decatur, AL MSA",13-1111,Management Analysts,         110,    56210,31300,42980,53080,64920,78510,2000
1274,AL,2030,"Decatur, AL MSA",15-2031,Operations Research Analysts,          40,    53090,37590,42660,51610,63560,73510,2000
1488,AL,2180,"Dothan, AL MSA",11-3021,Computer and Information Systems Managers,          50,    60380,38130,43610,58020,77360,87390,2000
1509,AL,2180,"Dothan, AL MSA",13-1111,Management Analysts,          60,    51420,36390,45710,51720,59880,68580,2000
1690,AL,2180,"Dothan, AL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          60,    21650,15360,17500,20320,23150,32490,2000
1748,AL,2650,"Florence, AL MSA",11-3021,Computer and Information Systems Managers,          40,    53690,24290,35640,53970,68220,84720,2000
1918,AL,2650,"Florence, AL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          40,    33390,21510,25410,30690,39910,45240,2000
2119,AL,2880,"Gadsden, AL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          30,    24530,12970,15570,23870,32730,38270,2000
2158,AL,3440,"Huntsville, AL MSA",11-3021,Computer and Information Systems Managers,         830,    73050,40950,60070,75180,88070,104510,2000
2183,AL,3440,"Huntsville, AL MSA",13-1111,Management Analysts,        1120,    56800,35680,44570,56640,68620,82600,2000
2205,AL,3440,"Huntsville, AL MSA",15-2031,Operations Research Analysts,         480,    66940,43300,54230,66250,79780,89550,2000
